Location,Positive_Cases,Last_updated,Last_updated_time
Oneida,5,3/22/2020,14:15
Onondaga,29,3/22/2020,14:15
Ontario,6,3/22/2020,14:15
Orange,247,3/22/2020,14:15
Putnam,37,3/22/2020,14:15
Rensselaer,26,3/22/2020,14:15
Rockland,455,3/22/2020,14:15
Saratoga,41,3/22/2020,14:15
Schenectady,39,3/22/2020,14:15
Schoharie,1,3/22/2020,14:15
St. Lawrence,1,3/22/2020,14:15
Steuben,3,3/22/2020,14:15
Suffolk,"1,034",3/22/2020,14:15
Sullivan,16,3/22/2020,14:15
Tioga,1,3/22/2020,14:15
Tompkins,13,3/22/2020,14:15
Ulster,26,3/22/2020,14:15
Warren,1,3/22/2020,14:15
Washington,1,3/22/2020,14:15
Wayne,3,3/22/2020,14:15
Westchester,"1,873",3/22/2020,14:15
Wyoming,2,3/22/2020,14:15
Total Number of Positive Cases,"15,168",3/22/2020,14:15
Albany,127,3/23/2020,15:03
Allegany,2,3/23/2020,15:03
Broome,7,3/23/2020,15:03
Cayuga,2,3/23/2020,15:03
Chenango,3,3/23/2020,15:03
Clinton,6,3/23/2020,15:03
Columbia,10,3/23/2020,15:03
Cortland,2,3/23/2020,15:03
Delaware,3,3/23/2020,15:03
Dutchess,100,3/23/2020,15:03
Erie,87,3/23/2020,15:03
Essex,3,3/23/2020,15:03
Fulton,1,3/23/2020,15:03
Genesee,1,3/23/2020,15:03
Greene,4,3/23/2020,15:03
Hamilton,2,3/23/2020,15:03
Herkimer,4,3/23/2020,15:03
Jefferson,2,3/23/2020,15:03
Livingston,3,3/23/2020,15:03
Madison,4,3/23/2020,15:03
Monroe,76,3/23/2020,15:03
Montgomery,3,3/23/2020,15:03
Nassau,"2,442",3/23/2020,15:03
Niagara,10,3/23/2020,15:03
New York City,"12,305",3/23/2020,15:03
Oneida,7,3/23/2020,15:03
Onondaga,52,3/23/2020,15:03
Ontario,6,3/23/2020,15:03
Orange,389,3/23/2020,15:03
Oswego,1,3/23/2020,15:03
Otsego,1,3/23/2020,15:03
Putnam,45,3/23/2020,15:03
Rensselaer,29,3/23/2020,15:03
Rockland,592,3/23/2020,15:03
Saratoga,53,3/23/2020,15:03
Schenectady,44,3/23/2020,15:03
Schoharie,1,3/23/2020,15:03
St. Lawrence,1,3/23/2020,15:03
Steuben,4,3/23/2020,15:03
Suffolk,"1,458",3/23/2020,15:03
Sullivan,23,3/23/2020,15:03
Tioga,1,3/23/2020,15:03
Tompkins,15,3/23/2020,15:03
Ulster,35,3/23/2020,15:03
Warren,2,3/23/2020,15:03
Washington,3,3/23/2020,15:03
Wayne,6,3/23/2020,15:03
Westchester,"2,894",3/23/2020,15:03
Wyoming,4,3/23/2020,15:03
Total Number of Positive Cases,"20,875",3/23/2020,15:03
Albany,146,3/24/2020,14:49
Allegany,2,3/24/2020,14:49
Broome,9,3/24/2020,14:49
Cayuga,2,3/24/2020,14:49
Chemung,1,3/24/2020,14:49
